"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"A4GALT",299,266,326,226,194,240
"AAAS",1130,855,875,639,630,755
"AACS",1756,1286,1393,981,895,1108
"AADAT",54,49,59,51,71,79
"AAGAB",1037,777,874,584,634,691
"AAK1",516,455,538.07,344.25,346.13,442
"AAMDC",205.45,153.36,193.25,105.86,115.57,109.43
"AAMP",1356,858,982,700,622,747
"AANAT",2,2,3,2,2.1,0
"AAR2",1098,837,841,583,580,661
"AARS1",5946,4436,4686,2939,2803,3296
"AARS2",811.9,557.95,563.96,437.77,415.96,516
"AARSD1",367.43,279.79,286.36,208.63,220.71,233.59
"AASDH",112.96,100,112.96,66.87,87.9,78.84
"AASDHPPT",537,441,468,353,386,448.9
"AASS",7,6,10,1,2,4
"AATF",1846,1352,1631,1053,1016,1162
"AATK",2326.51,2218.32,2569.99,1932.83,1521.29,1970.95
"ABCA1",11,15,13,4,8,9
"ABCA10",4,4,5,2,2,1
"ABCA12",1,4,4,0,1,0
"ABCA13",135,203,231,361,335,496
"ABCA2",7975,5922,6898,4268,3452,4981
"ABCA3",49,44,42,320,277,380
"ABCA4",48,43,47,29,25,29
"ABCA5",279,263,314,273,272,320
"ABCA6",4,3,3,2,2,0
"ABCA7",1121,753,892,658,517,733
"ABCA8",2,1,2,3,3,4
"ABCB1",44,33,64,18,9,19
"ABCB10",863,690,801,285,276,366
"ABCB5",0,1,4,3,4,3
"ABCB6",1135.38,825.48,934.01,660.83,584.78,727.78
"ABCB7",829,748,821,525,589,668
"ABCB8",1360,855,981,825,783.37,995
"ABCB9",322,235.65,200.58,173.29,140,188.98
"ABCC1",2401,1771,2199,1610,1482,1968
"ABCC10",385,245,286,240,211,279
"ABCC2",3024,2387,2685,1394,1285,1717
"ABCC3",1656,1124,1374,678,642,869
"ABCC4",1034.08,910.54,957.12,468.57,477.25,647.3
"ABCC5",1156,1000,1106,1037,829,1187
"ABCC6",86.61,65.85,67.22,73.28,63.64,72.54
"ABCD1",1906.78,1263.91,1403,882,788,1025.11
"ABCD3",1361,1253.85,1418,837,819,999
"ABCD4",260,172,186,244,229,280
"ABCE1",1811,1411.98,1716.95,1221.89,1281.94,1528.92
"ABCF1",2501,1914,2101,1473,1481,1730
"ABCF2",2773.83,1987.63,2170.01,1564,1575.9,1863
"ABCF2-H2BK1",16.17,25.37,30.99,0,14.1,0
"ABCF3",1224,860,871,598,591,675
"ABCG1",76,43,56,44,31,34
"ABCG2",11,5,6,1,1,1
"ABCG8",3,3,1,1,2,0
"ABHD10",840,690,715,453,455,544
"ABHD11",273.92,212.91,232.96,173.92,155.77,180.88
"ABHD12",1349,1064,1253,617,598,714
"ABHD13",209,175,192,172,159,193
"ABHD14A",298,202,224,170,156,186
"ABHD14B",2275,1849,1963,1152.5,1005,1245.26
"ABHD15",662,483,524,424,385,505
"ABHD16A",912,639,678,516,525,567
"ABHD16B",42.15,0.73,1.53,11.68,0,16.54
"ABHD17A",890,595.76,655.97,530.9,464.93,551.48
"ABHD17B",333,217,255,219,248,282
"ABHD17C",1045,759,829,314,257,372
"ABHD18",210,177,201,132,144,181
"ABHD2",1344.76,1051.08,1351,870.07,791.01,1026
"ABHD3",693,512,586,446,480,496
"ABHD4",1689,1616,1571,1149,1203,1499
"ABHD5",359,338,360,198,212,259
"ABHD6",200,135,132,92,81,108
"ABHD8",472.04,360.62,402.33,199.34,198.26,233.28
"ABI1",1106.29,962.57,1147,657.12,768,855.18
"ABI2",807.49,695.56,766.55,698.3,643.83,776.45
"ABITRAM",501,371,443,286,257,328
"ABL1",6523.49,4471.75,5032.77,2787.29,2430.53,3179.24
"ABL2",1769,1212,1405,639,606,913
"ABLIM1",3412,3056,3714,2675,2630,3389
"ABLIM2",259,228,256,189,172,238
"ABLIM3",131,76,69,26,40,36
"ABR",2401,1633,1765.76,1299,1121,1531
"ABRACL",102,79,85,131,131,122
"ABRAXAS1",194.53,164.85,204,158.86,148.3,177.78
"ABRAXAS2",305,232,271,202,195,238
"ABT1",556,398,427,298,279,341
"ABTB1",751,479,523,359,316,402
"ABTB2",639,483.99,499,429,401,490
"ACAA1",487.84,288.86,339.85,274.82,251.87,329.91
"ACAA2",2113.91,1696.97,1886.88,1227,1286.91,1384.9
"ACACA",2117,1899,2008,1928,1767,2239
"ACACB",816,680,606,447,366,529
"ACAD10",379,319,360,196.48,184,243
"ACAD11",338.18,260.26,272.02,194.98,197.31,246.9
"ACAD8",561,401,427,405,365,409
"ACAD9",1836.94,1355.81,1517.93,1206.8,1123.96,1367.77
"ACADM",998.93,948.79,1088,770,816,958.85
"ACADS",417.97,307,333.93,268,201,239.98
"ACADSB",53,55,69,32,31,54
"ACADVL",10262,7574,8476,4339.99,3961,4913
"ACAP1",18.43,9,5,15,6,8
"ACAP2",862,645,784,484,514,693
"ACAP3",2455,1631,1742,996,783,1096
"ACAT1",1897.51,1714.45,1983.03,1217.26,1303.62,1424.56
"ACAT2",2292.77,1966.35,2235.59,1449.15,1607.43,1764.28
"ACBD3",1582.92,1379.82,1627.88,763.81,851,942.62
"ACBD4",170,150,131,130,143,168
"ACBD5",1212.82,1052.12,1158.37,786.54,711.26,909.82
"ACBD6",991.1,725.98,789.47,515.92,444.43,597.69
"ACBD7",1.03,1,1.02,8,6,8
"ACCS",161,106,121,125,98,125
"ACD",983,690,732,507,439,578
"ACE2",3.4,1.36,11,0,0,1
"ACER2",22,16,4,9,7,10
"ACER3",568,424,534,362,330,440
"ACHE",1,1,8,2,6,5
"ACIN1",3523.08,2774.41,3157.53,2187.21,2162.39,2690.6
"ACKR3",966,819,1129,596,580,645
"ACKR4",8,8,8.32,2.86,2,2.25
"ACLY",13331,10832.35,12487.4,8607,8355.89,10266.06
"ACO1",2244,1800,2106,1137,1119,1410
"ACO2",2007.4,1666.69,1815.03,1250.96,1188.27,1447.24
"ACOT1",861.65,657.99,693.03,504.51,452.14,574.23
"ACOT11",129.17,103.46,107,79,58,71
"ACOT13",606.36,526.95,631.35,382.13,335.73,404.02
"ACOT2",848.32,576.01,651.96,532.49,500.84,568.77
"ACOT4",102.57,50.19,58.28,33.63,35.67,41.02
"ACOT7",1480.69,953.74,1037.16,634.91,577.73,696.47
"ACOT8",448.5,332.19,402.84,308.96,262.01,319.45
"ACOT9",1491,1044,1191,575,560,643
"ACOX1",816.45,684.34,708.55,424.66,399.47,526.95
"ACOX2",5,4,4,0,0,0
"ACOX3",120,110,102,89,63,100
"ACOXL",14,9,6,4,7,6
"ACP1",2502,2091,2450,1698.43,1671,2044
"ACP2",1507.5,1064.74,1270.67,1037.34,1072.2,1349.43
"ACP3",70,53,62,24,20,25
"ACRBP",8,7,3,9,3,5
"ACRV1",3,2,3,2,0,1
"ACSBG1",4.4,1.24,3.34,5.03,6.75,7.28
"ACSBG2",8,5,0,3,0,5
"ACSF2",329,284,355,111,83,129
"ACSF3",607.93,373.99,484.99,398.98,347.92,414.97
"ACSL1",584,620,683,331,276,397
"ACSL3",1879,1773,2102,1247,1424,1603
"ACSL4",1792,1459,1671,1024,1123,1312
"ACSL5",89.93,54,71.97,34.91,39,43
"ACSM3",39.73,41.97,49.04,13.23,15.69,20
"ACSS1",103,106,104,40,35,58
"ACSS2",2216,1866,2172,1094,1136,1303
"ACTA1",8,4,5,1,2,2
"ACTA2",78.73,57.96,59.13,23.94,27.8,25.77
"ACTB",60163.11,47485.52,52492.98,34913.99,34904.99,42018.98
"ACTC1",66.8,67.98,85.91,28,25,17
"ACTG1",46664.95,35263.77,38700.53,24077.43,22922.9,28023.01
"ACTL10",38,4,20,16,16,26
"ACTL6A",1244,1058,1140.9,734,724,875
"ACTL8",17,13,10,3,4,7
"ACTL9",5,4,0,0,0,1
"ACTMAP",438.02,375,490,405.03,327,447
"ACTN1",5787,4228,4864,3506,3464.45,4417
"ACTN2",2,8,6,1,0,1
"ACTN3",11,16,9,0,1,7
"ACTN4",17896.08,14028.54,16237.78,11904.99,11163.5,14053.43
"ACTR10",585,556,604,436,445,473
"ACTR1A",2243,1603,1584,1368,1310,1548
"ACTR1B",2765,1854,1991,1611,1496,1804
"ACTR2",4328.98,3658,4310.99,2684.98,2717.98,3429.98
"ACTR3",5208.34,4356.42,4903.8,3102.13,3180.64,3681.44
"ACTR3B",317.32,239.37,255.68,211.74,199.23,260.21
"ACTR3C",78.87,59.12,77.85,60.25,68.81,73.59
"ACTR5",389,314,284,165,166,179
"ACTR6",417,325,388,220,255,292
"ACTR8",466.97,378.36,420.34,301.48,249.67,342.39
"ACVR1",404,288,360,168,161,192
"ACVR1B",631,464,409,280,290,412
"ACVR2A",75.68,70.22,66.85,59,53.12,76.99
"ACVR2B",132,87,96,90,68,108
"ACVRL1",9,2,16,0,1,2
"ACY1",540,328,399,370.5,345,423.69
"ACY3",7,2,3,3,3,3
"ACYP1",170.03,179.67,176.32,149.29,136.63,167
"ACYP2",112.62,74.61,72.49,52.67,40.54,64.08
"ADA",353.48,267,281.3,249.53,224.24,274.94
"ADAM10",1508,1167.11,1453,928,938,1208
"ADAM11",37,27,25,5,6,6
"ADAM12",640,476,549,341,345,485
"ADAM15",6493,4825,5407.99,2929.99,2724,3230
"ADAM17",583.96,426.41,499.7,578.94,542.94,697.79
"ADAM21",18.96,14.38,14.01,5.79,7.99,5
"ADAM22",53,42,49,49,49,74
"ADAM32",4,2,1,2,1,0
"ADAM8",24,17,22,8,8,11
"ADAM9",3762,2925,3429,1416,1417,1635
"ADAMTS1",602,393,683,340,344,384
"ADAMTS10",909,572,739,474,400,530
"ADAMTS13",20,12,19,8,5,11
"ADAMTS14",57,57,34,111,69,114
"ADAMTS15",335.09,226,145.43,121.14,125.51,153.25
"ADAMTS16",36,42,30,27,18,20
"ADAMTS2",7,3,4,0,0,0
"ADAMTS4",4,8,21,7,7,9
"ADAMTS5",399,279,320,315,302,415
"ADAMTS6",82,64,63,28,46,47
"ADAMTS7",29.95,28,24,38,20,24
"ADAMTS8",38,39,47,49,43,50
"ADAMTSL4",354.74,278,307,254.31,253.29,320.57
"ADAMTSL5",278.77,235.94,216,144,173,175
"ADAP1",150,101,109,199,156,216
"ADAR",5860,4607,5196,2810,2718,3517
"ADARB1",2108,1655,1748,1044,1033,1358
"ADAT1",741.23,609,650,436.17,458.45,580
"ADAT2",120,108,121,103,102,121
"ADAT3",80,38,56,33,30,33
"ADCK1",154,116,118,118,87,98
"ADCK2",1107,774.8,894.85,570,591.16,652.98
"ADCK5",297,176,186,165,128,132
"ADCY3",2206.37,1596.88,1774.29,1778.54,1597.31,2085.01
"ADCY5",22.32,11.61,5.23,1,1,1
"ADCY6",3190,2325.6,2394.37,2223,1881.01,2469.81
"ADCY7",2530.68,1934.14,1869.19,1271.4,1068.04,1405.75
"ADCY9",1745,1319,1497,976,857,1258
"ADD1",1638,1292,1479.97,964,897,1066
"ADGRA2",219.37,239.04,260.4,92.62,103.36,124.11
"ADGRA3",977.92,762.97,843.95,679,626.91,836.96
"ADGRB1",14,11,12,2,2,3
"ADGRB2",970,798,956,866,746,920
"ADGRD1",231,199,214,115,102,118
"ADGRD2",34,14,5,12,16,17
"ADGRE2",371.7,196.51,268.65,250.75,261.27,345.51
"ADGRE5",2326.99,1577.49,1949.84,1197.25,1128.73,1401.41
"ADGRF3",7.05,7.08,12.12,16.21,6.02,14.05
"ADGRF4",19,5,13,0,2,1
"ADGRG1",2181.73,1972.62,2397.29,1307.73,1194.34,1410.5
"ADGRG2",18,10,20,32,37,38
"ADGRG5",19,12,15,11,8,6
"ADGRG6",95,90,116,138,126,182
"ADGRL1",134,94.4,114.52,177.8,137,192.9
"ADGRL2",79,77,76,66,49,70
"ADGRL4",2,7,1,5,2,5
"ADH5",2000,1600.99,1859.99,1313,1369.99,1627.98
"ADHFE1",7.82,15.08,20.89,9.42,9.1,10.04
"ADI1",2040.59,1543.02,1656.57,942.29,911.03,1103.17
"ADIPOR1",3030,2597,2918,1374,1398,1694
"ADIPOR2",1767,1487,1685,1585,1521,1896
"ADISSP",923,588,601,507,474,562
"ADK",1708,1527,1742,1168,1348,1451
"ADM",1440,883,1303,652,695,833
"ADM2",312,96,133,52,54,53
"ADM5",25.79,13,13,10,7,6
"ADNP",2537,1945,2436,1890,1872,2534
"ADNP2",845,621,851,546,573,716
"ADO",919,640,774,576,592,728
"ADORA2A",256.01,143.07,134.99,32.59,22.93,41
"ADORA2B",308,231,206,122,113,140
"ADPGK",1325.45,971.71,1075.44,832.41,903.63,967.33
"ADPRHL1",871,539,594,228,202,261
"ADPRM",100,85,82,85,70,81
"ADPRS",498,349,323,339,295,413
"ADRA1B",15,15,23,25,25,25
"ADRA2C",50,23,40,31,34,58
"ADRB1",26,18,9,11,10,14
"ADRB2",18,11,14,15,10,19
"ADRM1",4092.54,2575.72,2769.7,2105.45,1946.47,2286.39
"ADSL",1234.33,1021.24,1081.57,779.03,793.97,908.04
"ADSS1",761.26,740.47,790.2,660,516.9,688.77
"ADSS2",1215,1065,1172,696,687,787
"ADTRP",19.68,21,28.81,11,14,11
"AEBP1",4,1,6,1,1,3
"AEBP2",785,639,849,529,501,686
"AEN",422,266,338,270,281,360
"AFAP1",1198.5,1141.94,1233.14,979.32,854.7,1140.02
"AFAP1L1",208,115,137,216,217,263
"AFAP1L2",18,16,17.59,4,5,5
"AFDN",701,524,587,481,460,648
"AFF1",998,910,1043,715,751,1019
"AFF4",1865,1418,1934,1091,1224,1627
"AFG1L",48,32,34,46,25,35
"AFG2A",207,181,181,138,148,187
"AFG2B",501,366,337,299,288,316
"AFG3L2",1902.36,1434.55,1593.27,1184.75,1214.25,1424.54
"AFMID",410,372,418,275,269,329
"AFP",1,2,2,1,2,4
"AFTPH",617.11,508.34,581.84,374.8,405.28,548.2
"AGA",101,85,94,58,70,52
"AGAP1",1849,1522,1748,1467.92,1477,1919
"AGAP2",7.22,2.06,9.25,7.06,14.29,13.49
"AGAP3",2822,1905,2168,1601,1500,1888
"AGAP4",171.33,97.52,109.61,99.99,69.44,118.1
"AGAP5",132.99,79.62,92.05,49.9,30.4,42.51
"AGAP6",290.2,225.25,219.69,168.4,192.11,251.36
"AGAP9",27.67,39.19,3.71,25.28,20.1,22.04
"AGBL2",1,4,8,2,2,2
"AGBL3",0,3,4,3,5,2
"AGBL5",788.89,697.25,807.93,700.39,638.91,860.71
"AGER",33,21,30,14,14,20
"AGFG1",1025,903,970,672,730,835
"AGFG2",1129.37,863.91,1081.27,570,501,662.58
"AGGF1",1205,1055,1240,706,717,875
"AGK",637,559,563,516.95,491,596.99
"AGL",812,700,747,399,424,518
"AGMAT",503,346,379,311,308,349
"AGO1",809,665,667,694,632,823
"AGO2",2458,1983,2051,1405,1233,1768
"AGO3",430,352,340,318,305,377
"AGO4",206,185,213,219,194,256
"AGPAT1",1924.22,1434.18,1573.26,1164.58,1114.96,1403.98
"AGPAT2",2513,1614,1827,896,839,974
"AGPAT3",1522,1168,1374,925,881,1089
"AGPAT4",95,80,88,96,85,81
"AGPAT5",925,709,758,295,332,367
"AGPS",1116,1024.73,1124,690,715.3,938
"AGRN",15250.25,10468.4,13218.55,8866,7426.76,9955.05
"AGT",63.93,71.88,98.57,12.37,26.89,25.74
"AGTPBP1",648,583,714,349,384,469
"AGTRAP",1556.62,1067.32,1096.67,624.53,642.61,781.49
"AGXT",5,6,7,0,0,0
"AHCTF1",2035.26,1640.55,1761.69,1005.69,1032.35,1357.14
"AHCY",5462.89,4050.73,4337.76,2961.53,2831.84,3361.57
"AHCYL1",2974,2511,2956,1750,1760,2288
"AHCYL2",520,403,413.9,391,369,450
"AHDC1",1866,1369,1731,1107.85,956,1373.89
"AHI1",465.97,471.26,460.42,223,270,346.07
"AHNAK",11409,8499,11164,7246,6632,10207
"AHNAK2",18872.15,15733.84,18183.84,9799,8376.8,12089.82
"AHR",518.41,340.88,478,300.18,289.88,423
"AHRR",4647.2,4415.95,4806.4,3414.52,2673.73,3641.96
"AHSA1",2136,1535,1634,1370,1367,1605
"AIDA",2386.88,2051.37,2205.87,1094.75,1283.36,1397.65
"AIF1L",419,348,399,226,189,246
"AIFM1",1481.25,1271.62,1338.33,886.3,863.46,1012.11
"AIFM2",2079,1263.9,1431,895,839.77,1072
"AIFM3",12,7,11,10,15,12
"AIG1",182,175,190,150,146,189
"AIMP1",958.61,898.38,904.5,703.6,684.76,774.79
"AIMP2",1020.01,790.85,857.9,725.34,674.06,802.27
"AIP",1207,877,984,752,699,848
"AIRE",7,3,2,1,0,7
"AIRIM",351,267,244,210,204,265
"AJM1",1658,1008,901,682,484,716
"AJUBA",1877,1386,1576,1439,1258,1567
"AK1",2460.06,1875.11,2024.37,1667.43,1503.19,1975.14
"AK2",4847.85,3572.83,3942.81,2845.55,2905.63,3400.65
"AK3",599,551,662,699,689,826
"AK4",1764.98,1469.51,1658.36,1065.24,1041.9,1295.34
"AK4P3",31.49,6.61,40.82,19.77,9.42,33.36
"AK6",316.1,254.88,302,179.55,184.84,191.59
"AK7",93,92,92,38,47,41
"AK9",44,32,28,27,24,19
"AKAP1",1577,1231,1382.73,864,770,1063
"AKAP10",678,541,525.52,406,377.59,505
"AKAP11",574,458,536,305,296,424
"AKAP12",65,64,74,204,141,247
"AKAP13",1130.85,868.67,1019.37,653.36,599,936.82
"AKAP17A",1147,734,864,692,573,771
"AKAP5",47,45,57,33,30,40
"AKAP6",28,29,31,37,23,51
"AKAP7",87,89,90,70,78,83
"AKAP8",789,509,570,438,416,527
"AKAP8L",1186,915.78,1129.9,862.6,717.77,1004.77
"AKAP9",934,756,873,696.76,711.83,1029.54
"AKIP1",957,739,712,469,457,560
"AKIRIN1",1404,1082,1098,939,885,1103
"AKIRIN2",460,317,381,283,241,351
"AKNA",310,233,235,162,140,207
"AKNAD1",6,7,8,2,14,7
"AKR1A1",2088,1596,1690,1338,1265,1492
"AKR1B1",10186,7303,8187,2673,2558,2972
"AKR1B10",31,33,38,6,9,6
"AKR1C1",156.9,120.19,130.68,1.23,5.7,6.03
"AKR1C2",474.64,447,596.89,2.97,4.57,5.25
"AKR1C3",4237.41,3963.8,4662.4,452.78,410.71,492.7
"AKR1C4",9.04,11.01,15.03,3.01,4.01,7.01
"AKR7A2",2011.93,1473.97,1581.99,1186.96,1178.96,1368.99
"AKR7A3",12.79,22.58,19.02,6.93,8.02,5.58
"AKR7L",22.28,12.45,20,9.11,5.02,4.43
"AKT1",7271.91,5266.46,5854.21,3687.67,3230.64,4007.6
"AKT1S1",1780.54,1230.52,1426.55,1017.65,975.85,1228.24
"AKT2",3377,2462,2844,2225,1968,2523
"AKT3",398.84,414.13,441.51,374.52,358.23,476.34
"AKTIP",107.55,96.14,109.58,59.23,63.14,66.14
"ALAD",629,466,466,439,414,500
"ALAS1",2573.11,2080.05,2248.74,1251.53,1347.53,1605.81
"ALCAM",2685,1999,2606,1341,1398,1722
"ALDH16A1",559.53,400.56,415,470.92,440.86,530.89
"ALDH18A1",2652,2298,2709,1679,1698,2033
"ALDH1A2",4,4,3,1,2,2
"ALDH1A3",288.31,213.61,252.62,224.58,195.88,264.43
"ALDH1B1",729,643,692,565,496,579
"ALDH1L2",228,205,215,202,195,258
"ALDH2",2311.86,1452.42,1721.24,251.6,207.73,329.23
"ALDH3A1",568,468,577.98,489,400,524
"ALDH3A2",1871,1559,1728,1609,1451,1834
"ALDH3B1",2568,2197,2385,1981,1686,2209
"ALDH4A1",289,215,197,161,169,175
"ALDH5A1",620,601,742,482,464,577
"ALDH6A1",555.27,568.71,625.64,546.29,482.3,629.74
"ALDH7A1",1302.97,1143,1343,998.99,871,1087.96
"ALDH9A1",1983,1439,1633,884.99,916,1078
"ALDOA",26803.23,19030.27,21501.28,13986.05,13132.86,16060.71
"ALDOC",3011,2349,2354,1032,913,1159
"ALG1",825.47,533.48,554.64,408.4,404.36,522.8
"ALG10",173.06,136.84,156.54,125.88,125.45,128.26
"ALG10B",493.09,396.99,473.61,376.49,359.84,453.16
"ALG11",320.51,289.33,302.82,364.18,386.99,478.28
"ALG12",468.26,319.03,369.17,215.19,231.23,254.13
"ALG13",296,253,286,210,226,258
"ALG14",136,117,129,98,96,114
"ALG2",398,287,289,214,238,277
"ALG3",1426,1008,1151,673,691,812
"ALG5",196,143,171,148,126,168
"ALG6",174,147,159,100,96,120
"ALG8",1147,968,1075,621,645,759
"ALG9",526.6,519.71,571.28,449.84,458.63,541.62
"ALKBH1",321,227,242,146,162,197
"ALKBH2",484.67,343.38,405.2,282.09,242.17,302.35
"ALKBH3",262,213,218,139,164,180
"ALKBH4",296.54,186.02,230.49,174.79,183.46,211.55
"ALKBH5",2918.83,1941,2209.85,1561,1422,1796.84
"ALKBH6",428.21,241.57,314.77,190.75,230.07,261.94
"ALKBH7",446,235,310,275,211,275
"ALKBH8",116,93,93,61,85,86
"ALMS1",602,577,633,431,475,649.08
"ALOX12",9.34,9.38,7.25,6,5,5.12
"ALOX12B",6,3,5,1,1,1
"ALOX5",375,297,319,177,127,194
"ALOX5AP",5,8,12,6,9,6
"ALOXE3",64,35,34,6,6,11
"ALPG",3.27,0,8.7,6.53,7.62,7.19
"ALPI",10529.86,12080.86,15743,6947.72,5862.16,6959
"ALPK1",65,58,65,12,15,13
"ALPK2",294.22,195.84,287.91,230.57,228.68,360.83
"ALPK3",44,33,44,19,11,13
"ALPL",7779,6935,8817,7782,7148,8481
"ALPP",1441.27,1670.14,2369.3,2249.48,1945.88,2404.64
"ALS2",338,238,274,196,186,207
"ALS2CL",590,448,487,301,241,354
"ALX4",10,4,15,7,5,13
"ALYREF",2364.86,1656.98,1829.92,1264.92,1204.91,1489.75
"AMACR",495.53,438,381.13,187.11,210,223.67
"AMBP",9,4,2,15,4,7
"AMBRA1",862,663,806,575,510,731
"AMD1",1085.95,1041,1113.98,724.85,758.98,879
"AMDHD1",61,35,52,26,23,43
"AMDHD2",1014.47,647.99,577,450,405.16,519
"AMER1",317,279,262,213,181,244
"AMFR",1577,1153,1323,815.94,872,1033.89
"AMH",203,117,140,86,51,89
"AMHR2",5,5,3,1,1,1
"AMIGO1",75,63,53,103,90,124
"AMIGO2",0,3,0,6,4,7
"AMIGO3",36.76,69,74.71,61.73,59.12,84.79
"AMMECR1",751,606,732,408,396,484
"AMMECR1L",1189.53,912.89,907.92,682.7,670.54,922.49
"AMN1",93.35,72.81,75.37,42.41,44.79,50.02
"AMOTL1",1288,1242,1447,1128,1095,1383
"AMOTL2",3171,2514,4090,2137,2010,2469
"AMPD2",1976.53,1326.65,1558.81,892.59,880.63,1117.88
"AMPD3",89,55,53,30,33,33
"AMT",8.13,0,12.77,0.98,8,8.13
"AMTN",9,1,16,6,12,14
"AMY2B",53,32,55.15,43.34,38.45,35.38
"AMZ1",95,85,71,49,24,33
"AMZ2",1018.96,921.84,992.03,634.96,639.46,710.72
"ANAPC1",1990.06,1504.52,1729.87,1305.83,1329.21,1779.84
"ANAPC10",106,60,86,60.09,71,68
"ANAPC11",1215.78,734.02,827.08,591.08,569.09,633.25
"ANAPC13",879.09,800.03,867,575.96,631.6,692
"ANAPC15",463.64,357.18,389.43,251.35,257.05,303.57
"ANAPC16",1478.19,1160.01,1279.79,888.57,810.84,915.36
"ANAPC2",1952.23,1224.83,1283.29,754.9,757.05,841.58
"ANAPC4",239,221,253,165,182,222
"ANAPC5",3621,2834,3148,2173,2053,2403
"ANAPC7",1182.68,895.85,1011.07,704.2,690.94,764.82
"ANG",88.92,80.37,96.67,50.05,53.64,59.63
"ANGEL1",508.99,410.99,454,408.99,389,471.96
"ANGEL2",390.55,342,371.62,203.84,216,294.57
"ANGPT2",2,0,2,0,4,2.01
"ANGPTL2",31,28,36,28,24,19
"ANGPTL4",392,155,147,35,34,54
"ANGPTL6",24.35,6.92,8.13,9.85,1.25,9.77
"ANK1",452,316,395,66,69,75
"ANK2",5,6,1,5,3,5
"ANK3",244,243.53,230.74,6,2,6
"ANKAR",10,8.91,8,8,6,6
"ANKDD1A",14,8,20,16,16,23
"ANKEF1",207,165,178,90,85,104
"ANKFN1",4,5,13,3,2,3
"ANKFY1",1876.85,1531,1557.34,1186.22,1188.93,1585
"ANKH",3086.13,2375.03,2683.46,1785.31,1704.27,2284.65
"ANKHD1",1668.82,1403,1760.63,1073.83,1136.5,1648.91
"ANKHD1-EIF4EBP3",1369.18,1145,1228.9,1049.3,986.5,1152.09
"ANKIB1",1449.72,1182.93,1457,730.82,736.63,944.75
"ANKLE1",16,15,9,3,5,5
"ANKLE2",3814,2909,3443,2673,2465,3176
"ANKMY1",180.82,134.32,137.54,116.7,107.68,122.38
"ANKMY2",675,644,622.78,464,527,512.46
"ANKRA2",147,88,105,44,63,74
"ANKRD1",5,16,12,13,9,11
"ANKRD10",637,485,594,608,526,654
"ANKRD11",3005.66,1977.18,2334.06,1687.73,1520.83,2108.6
"ANKRD12",395,297,311,209,220,273
"ANKRD13A",804,666,794,679,687,834
"ANKRD13B",615,478,513,483,447,595
"ANKRD13C",549,491,528,395,379,513
"ANKRD13D",412,253,298,233,201,261
"ANKRD16",78,46,47.59,33,33,32
"ANKRD17",2422.4,1902.32,2270.68,1491.18,1504.64,2007.8
"ANKRD18A",12.99,13.77,11.41,16.62,16.39,19.37
"ANKRD18B",60.01,61.23,63.59,48.38,54.61,66.63
"ANKRD2",5,8,5,6,3,5
"ANKRD20A1",13.55,3.37,17.25,4.41,2.24,6.79
"ANKRD23",136,73,81,51,59,60
"ANKRD24",46,33,28,19,17,10
"ANKRD26",347,314,342,300,325,425
"ANKRD27",1323,1022,1005,891,822,1085
"ANKRD28",694,515,627,461,519,659
"ANKRD29",59,65,63,57,48,67
"ANKRD33B",1106.14,892.25,824.93,352,320,423.99
"ANKRD34A",198,125,141,74,64,77
"ANKRD36",288.7,273.82,413.26,273.85,272.87,390.69
"ANKRD36B",217.51,148.26,184.65,161.15,153.77,220.16
"ANKRD36C",166.58,150.92,205.09,141.96,127.36,223.14
"ANKRD37",62.24,40.96,37.6,39.01,27.82,26.36
"ANKRD39",322,210,221,174,154,207
"ANKRD40",673,531,600,434,402,547
"ANKRD42",327.13,229.16,261.18,144.25,132.73,159.78
"ANKRD44",137,87,123,77,86,104
"ANKRD46",80,65,48,60,37,56
"ANKRD49",319,342,377,202,227,269
"ANKRD50",250,229,276,178,183,265
"ANKRD52",3924,3040,3070,1883,1701,2255
"ANKRD54",682,445,459,306,280,325
"ANKRD60",7,7,6,2,1,1
"ANKRD61",39,29,26,14,11,33
"ANKRD63",1,2,1,2,2,2
"ANKRD9",3305.78,2330.92,2313.7,1484.36,1199.31,1658.56
"ANKS1A",757,640,614,502,498,621
"ANKS1B",15,13,19,0,0,3
"ANKS3",381,234,269,233,221,254
"ANKS6",813,555,611,426,385,486
"ANKZF1",863,628,671,489,406,502
"ANLN",5476,4955,5721,2895,3036,3747
"ANO1",3,0,2,5,2.29,7.99
"ANO10",297,229,281,188,177,209
"ANO2",47,86,90,140,137,141.91
"ANO4",191,141,154,102,94,158
"ANO6",4016,2940,3626,2397,2414,3122
"ANO7",59,47,32,32,43,48
"ANO8",908.91,600.98,641.9,469.96,400,541.89
"ANO9",2,4,2,5,1,0
"ANOS1",385,393,484,349.98,337,330
"ANP32A",2452,2052,2427,1929,1890,2353
"ANP32B",4166,3485,4163,3085,3037,3819.8
"ANP32E",1979,1699,2309,1611,1587,1934
"ANPEP",2943,996,1376,471,521,740
"ANTKMT",376,191,221,165,132,182
"ANTXR1",2590,1901,2403,1774,1843,2321
"ANXA1",3444,2312,2612,1509,1631,1904
"ANXA11",2808,2181,2435,1256,1375,1517
"ANXA2",21026.44,15276.36,16514.53,11418.84,12183.39,14197.67
