"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"DNMT1",4612,3433,3987,2789,2495,3334
"DNMT3A",495,420,533,264,251,335
"DNMT3B",189,162,159,173,160,198
"DNMT3L",16.4,22.94,25.54,0,2,2
"DNPEP",598,398,372,279,283,341
"DNPH1",862,538,628,624,534,653
"DNTTIP1",727,560,597,484,448,617
"DNTTIP2",1405,1069,1412,726,816,936
"DOCK1",1125,899,989,755,736,996
"DOCK10",399,312,339,215,226,308
"DOCK11",171,173,164,196,224,278
"DOCK2",57,40,38,24,37,40
"DOCK3",159.77,113.93,126.8,65.26,61.03,87.56
"DOCK4",227,122,147,93,100,155
"DOCK5",1820,1201,1398,633,600,880
"DOCK6",650,502,539,422,378,521
"DOCK7",554,356,426,282,275,382
"DOCK8",151,154.28,183.23,50,51,58
"DOCK9",1119,963,1085,636,666,818
"DOHH",439,233,246,235,161,237
"DOK1",246,165,180,130,104,127.28
"DOK3",122,73.34,75.37,36,24.64,46
"DOK4",1989,1424,1617,1352,1199,1612
"DOK7",96,28,77,52,40,49
"DOLK",466,284,346,310,304,344
"DOLPP1",634,443,506,532,527,583
"DONSON",1310.19,1108.33,1221,908,864.67,1077.3
"DOP1A",116.19,98,124.67,74.35,85.6,105.11
"DOP1B",203,129,164,108,87,137
"DORIP1",19,23,21,14,14,19
"DOT1L",1205.44,834.76,948.9,669.11,575.16,835.41
"DPAGT1",976.61,766.17,953.03,642.23,666.47,821.01
"DPCD",313,228,263,181,188,229
"DPEP1",10,11,8,11,12,9
"DPF1",138,93,78,52,38,39
"DPF2",1690.8,1214,1422,909,913,1141
"DPF3",8,2,4,1,1,3
"DPH1",812.35,596.72,643.46,538.85,537.82,573.65
"DPH2",746.71,526.42,483.82,417.34,401.61,504.49
"DPH3",217,149,150,125,135,142
"DPH5",345.62,281.73,343.61,262.36,277,313
"DPH6",108,108,108,99,63,109
"DPH7",297,235,229,199,158,212
"DPM1",983.4,908.03,996.06,742.92,823.27,915.96
"DPM2",2084,1510,1633,1525,1469,1772
"DPM3",329,191,193,115,96,107
"DPP3",1603.59,999.42,1139.07,640.8,672.91,847.34
"DPP7",3095,2174,2572,1796,1571,1990
"DPP8",408,315,386,278,243,336
"DPP9",2703.75,1834.61,2023.48,1233.51,1080.49,1519.39
"DPY19L1",2459.77,2125.14,2348.74,1541.74,1555.28,1841.32
"DPY19L3",342,254,313,286,251,373
"DPY19L4",565,443,456.5,393,371.43,478.15
"DPY30",596.59,483.5,509.37,326.73,350.8,398.23
"DPYD",522,350,419,115,107,142
"DPYSL2",2401,1778,2245,804,666,920
"DPYSL4",147,104,118,13,14,15
"DR1",1496.65,1224,1383.28,1000.42,1036.19,1255.34
"DRAM1",730,500.45,602,364.89,376,544.53
"DRAM2",462.51,425.05,462,247,266.83,336.61
"DRAP1",1694,1118,1295,789,791,982
"DRC12",4,5,7,3,4,5
"DRC3",7,14,13,6,5,10
"DRG1",982,778,833.94,573.89,566,666.98
"DRG2",953,661,681.9,485.84,476.62,545.87
"DRGX",24,9,9,5,10,15
"DRICH1",5,2,3,0,0,1
"DROSHA",4438.92,3707.23,4107.6,1860.37,1867.84,2479.87
"DRP2",58,48,53,42,20,45
"DSC2",565,496,621,261,259,332
"DSC3",314,239,313,109,103,145
"DSCC1",567.12,491.17,494.63,401.24,456.17,525.5
"DSE",874.26,617.13,736.82,338.46,394.35,547.21
"DSEL",1282.88,1107.9,1533.93,632.92,540.97,783.94
"DSG2",4003,3192.95,3982.36,2170,2211.98,3053
"DSG4",8,9,6,0,1,0
"DSN1",2117,1632,1789,1067,1057,1254
"DSP",9786.34,8969.78,11166.43,4926.68,4778.91,6482.69
"DST",2064,1622,2031,705.77,716,1096
"DSTN",3723.84,3286.67,3801.81,2377.83,2599.62,2930.81
"DSTYK",623,521,481,292,273,390
"DTD1",262.93,205.55,244.07,213.15,229.22,225.76
